Holdings details

Total Stock Market ETF (VTI)


Equity,as of 02/28/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BYMBW46,Lindblad Expeditions Holdings Inc,LIND,<0.01%,"Hotels, Resorts & Cruise Lines",US,---,"$24,025,307.40","1,218,940"
,2200552,BJ's Restaurants Inc,BJRI,<0.01%,Restaurants,US,---,"$23,963,294.21","630,779"
,B1W8J67,TFS Financial Corp,TFSL,<0.01%,Regional Banks,US,---,"$23,951,697.90","1,708,395"
,BJXSDM6,Northeast Bank,NBN,<0.01%,Regional Banks,US,---,"$23,869,026.72","215,269"
,BYZD465,Kura Oncology Inc,KURA,<0.01%,Biotechnology,US,---,"$23,804,422.74","2,726,738"
,BL6JSP8,Vital Farms Inc,VITL,<0.01%,Packaged Foods & Meats,US,---,"$23,734,369.65","1,125,385"
,BTJZB05,Forward Air Corp,FWRD,<0.01%,Air Freight & Logistics,US,---,"$23,716,152.72","937,768"
,2918996,Array Digital Infrastructure Inc,AD,<0.01%,Wireless Telecommunication Services,US,---,"$23,678,394.30","485,910"
,BMF7DQ6,Compass Therapeutics Inc,CMPX,<0.01%,Biotechnology,US,---,"$23,678,325.10","4,190,854"
,2248693,Integra LifeSciences Holdings Corp,IART,<0.01%,Health Care Equipment,US,---,"$23,661,239.10","2,079,195"
,2007281,Insperity Inc,NSP,<0.01%,Human Resource & Employment Services,US,---,"$23,643,655.50","1,064,550"
,BSRK6R7,BKV Corp,BKV,<0.01%,Oil & Gas Exploration & Production,US,---,"$23,605,212.54","753,438"
,B6452T5,Whitestone REIT,WSR,<0.01%,Retail REITs,US,---,"$23,462,732.23","1,544,617"
,BMFTC10,Dakota Gold Corp,DC,<0.01%,Gold,US,---,"$23,445,790.08","3,368,648"
,BMW6894,Peakstone Realty Trust,PKST,<0.01%,Office REITs,US,---,"$23,431,141.02","1,123,257"
,2813552,AMN Healthcare Services Inc,AMN,<0.01%,Health Care Services,US,---,"$23,424,076.64","1,202,468"
,BN14T59,Franklin BSP Realty Trust Inc,FBRT,<0.01%,Mortgage REITs,US,---,"$23,417,263.10","2,564,870"
,2382416,Dauch Corporation,DCH,<0.01%,Automotive Parts & Equipment,US,---,"$23,380,645.20","3,542,522"
,BMNDK09,Theravance Biopharma Inc,TBPH,<0.01%,Pharmaceuticals,US,---,"$23,370,621.50","1,280,582"
,2499026,LSI Industries Inc,LYTS,<0.01%,Electrical Components & Equipment,US,---,"$23,366,874.38","1,080,799"
,BKV28S8,Schrodinger Inc/United States,SDGR,<0.01%,Health Care Technology,US,---,"$23,180,128.02","1,922,067"
,2503916,Heritage Commerce Corp,HTBK,<0.01%,Regional Banks,US,---,"$23,064,200.61","1,855,527"
,BN7VBP8,BrightSpire Capital Inc,BRSP,<0.01%,Mortgage REITs,US,---,"$23,029,341.02","3,963,742"
,BQB42F1,Bicara Therapeutics Inc,BCAX,<0.01%,Biotechnology,US,---,"$23,011,303.34","1,371,353"
,BD5G1Z5,Esquire Financial Holdings Inc,ESQ,<0.01%,Regional Banks,US,---,"$23,007,182.22","227,839"
,B23PS12,CVR Energy Inc,CVI,<0.01%,Oil & Gas Refining & Marketing,US,---,"$23,001,793.76","952,061"
,BYZG9Q9,Equity Bancshares Inc,EQBK,<0.01%,Regional Banks,US,---,"$22,958,767.92","511,559"
,2231091,Cracker Barrel Old Country Store Inc,CBRL,<0.01%,Restaurants,US,---,"$22,950,200.64","701,412"
,BMFJJ97,Sana Biotechnology Inc,SANA,<0.01%,Biotechnology,US,---,"$22,899,638.24","5,439,344"
,B8KHZT0,Beazer Homes USA Inc,BZH,<0.01%,Homebuilding,US,---,"$22,878,112.50","894,375"
,2901714,Transcat Inc,TRNS,<0.01%,Trading Companies & Distributors,US,---,"$22,865,794.08","293,264"
,BR4NQJ4,Adamas Trust Inc,ADAM,<0.01%,Mortgage REITs,US,---,"$22,782,108.56","2,764,819"
,2896809,Tootsie Roll Industries Inc,TR,<0.01%,Packaged Foods & Meats,US,---,"$22,685,575.93","537,191"
,BMDTR28,First Watch Restaurant Group Inc,FWRG,<0.01%,Restaurants,US,---,"$22,680,028.42","1,820,227"
,2724472,Oil States International Inc,OIS,<0.01%,Oil & Gas Equipment & Services,US,---,"$22,632,557.64","1,728,996"
,2626802,National Presto Industries Inc,NPK,<0.01%,Aerospace & Defense,US,---,"$22,629,425.22","171,513"
,2035925,NWPX Infrastructure Inc,NWPX,<0.01%,Construction & Engineering,US,---,"$22,627,461.60","291,591"
,B0X46B1,Koppers Holdings Inc,KOP,<0.01%,Commodity Chemicals,US,---,"$22,620,918.60","598,437"
,BTJWV40,Resolute Holdings Management Inc,RHLD,<0.01%,Research & Consulting Services,US,---,"$22,560,923.15","133,853"
,2157175,PC Connection Inc,CNXN,<0.01%,Technology Distributors,US,---,"$22,463,610.10","368,558"
,BL6JGD2,Atlas Energy Solutions Inc,AESI,<0.01%,Oil & Gas Equipment & Services,US,---,"$22,446,875.16","2,330,932"
,BNFWZS4,Amphastar Pharmaceuticals Inc,AMPH,<0.01%,Pharmaceuticals,US,---,"$22,442,676.48","1,109,376"
,2772998,John B Sanfilippo & Son Inc,JBSS,<0.01%,Packaged Foods & Meats,US,---,"$22,428,449.78","271,498"
,BZ0QMB7,Arbutus Biopharma Corp,ABUS,<0.01%,Biotechnology,US,---,"$22,423,207.02","4,811,847"
,BWTRBN5,Solv Energy Inc,MWH,<0.01%,Construction & Engineering,US,---,"$22,381,942.24","710,087"
,2492133,Independent Bank Corp/MI,IBCP,<0.01%,Regional Banks,US,---,"$22,283,437.50","641,250"
,BNKCPP6,Sprinklr Inc,CXM,<0.01%,Application Software,US,---,"$22,256,913.84","3,824,212"
,BL5FDV8,Redwire Corp,RDW,<0.01%,Aerospace & Defense,US,---,"$22,126,237.79","2,439,497"
,BCRY5K3,Fox Factory Holding Corp,FOXF,<0.01%,Automotive Parts & Equipment,US,---,"$22,115,231.04","1,313,256"
,2676692,Shenandoah Telecommunications Co,SHEN,<0.01%,Integrated Telecommunication Services,US,---,"$22,099,641.11","1,621,397"
,B292GM4,American Public Education Inc,APEI,<0.01%,Education Services,US,---,"$22,099,352.56","482,308"
,2251583,Daily Journal Corp,DJCO,<0.01%,Application Software,US,---,"$22,056,687.90","43,290"
,BNTC8Y7,CBL & Associates Properties Inc,CBL,<0.01%,Retail REITs,US,---,"$22,037,414.02","583,309"
,BD06CS0,KalVista Pharmaceuticals Inc,KALV,<0.01%,Biotechnology,US,---,"$21,975,574.28","1,349,851"
,BT9K6D8,BioAge Labs Inc,BIOA,<0.01%,Pharmaceuticals,US,---,"$21,946,929.11","985,493"
,BKF9DQ8,Phreesia Inc,PHR,<0.01%,Health Care Technology,US,---,"$21,883,801.86","1,774,842"
,BLR7B41,Amalgamated Financial Corp,AMAL,<0.01%,Regional Banks,US,---,"$21,839,572.41","567,409"
,2836292,STAAR Surgical Co,STAA,<0.01%,Health Care Supplies,US,---,"$21,807,614.00","1,095,860"
,BNRRP65,Mister Car Wash Inc,MCW,<0.01%,Specialized Consumer Services,US,---,"$21,774,270.08","3,058,184"
,B4WXG84,United Fire Group Inc,UFCS,<0.01%,Property & Casualty Insurance,US,---,"$21,774,074.06","560,321"
,2648055,Eagle Bancorp Inc,EGBN,<0.01%,Regional Banks,US,---,"$21,762,015.05","855,089"
,2030674,American Woodmark Corp,AMWD,<0.01%,Building Products,US,---,"$21,709,332.00","433,320"
,2325875,Insteel Industries Inc,IIIN,<0.01%,Building Products,US,---,"$21,582,547.68","578,931"
,2657794,Oil-Dri Corp of America,ODC,<0.01%,Household Products,US,---,"$21,552,632.32","317,698"
,BMHYQY4,Butterfly Network Inc,BFLY,<0.01%,Health Care Equipment,US,---,"$21,543,902.53","5,684,407"
,B6YVN56,Power Solutions International Inc,PSIX,<0.01%,Heavy Electrical Equipment,US,---,"$21,438,541.50","256,749"
,2648710,First Community Bankshares Inc,FCBC,<0.01%,Regional Banks,US,---,"$21,395,384.01","546,777"
,BMV1Z44,Amplitude Inc,AMPL,<0.01%,Application Software,US,---,"$21,385,547.10","2,929,527"
,B4WHS46,Mechanics Bancorp,MCHB,<0.01%,Regional Banks,US,---,"$21,324,033.24","1,495,374"
,BRXYZ91,Ramaco Resources Inc,METC,<0.01%,Steel,US,---,"$21,276,257.14","1,405,301"
,2618348,Mid Penn Bancorp Inc,MPB,<0.01%,Regional Banks,US,---,"$21,257,453.45","660,785"
,BK7FYL6,Accel Entertainment Inc,ACEL,<0.01%,Casinos & Gaming,US,---,"$21,255,934.56","1,871,121"
,BDH2902,eXp World Holdings Inc,EXPI,<0.01%,Real Estate Services,US,---,"$21,185,726.23","3,039,559"
,2082675,Barrett Business Services Inc,BBSI,<0.01%,Human Resource & Employment Services,US,---,"$21,081,706.58","759,154"
,2670036,PAR Technology Corp,PAR,<0.01%,Application Software,US,---,"$21,074,065.32","1,285,788"
,B84T2F7,HomeTrust Bancshares Inc,HTB,<0.01%,Regional Banks,US,---,"$21,017,240.72","498,748"
,2362515,First Financial Corp,THFF,<0.01%,Regional Banks,US,---,"$21,010,809.60","331,610"
,2942025,Washington Trust Bancorp Inc,WASH,<0.01%,Regional Banks,US,---,"$20,945,106.69","621,701"
,B019FW2,Orrstown Financial Services Inc,ORRF,<0.01%,Regional Banks,US,---,"$20,889,082.74","581,221"
,BMCKSV8,Forum Energy Technologies Inc,FET,<0.01%,Oil & Gas Equipment & Services,US,---,"$20,811,066.78","358,626"
,2277114,Republic Bancorp Inc/KY,RBCAA,<0.01%,Regional Banks,US,---,"$20,718,009.00","300,261"
,2781626,Seneca Foods Corp,SENEA,<0.01%,Packaged Foods & Meats,US,---,"$20,650,621.26","148,587"
,BJHVCH9,Clear Channel Outdoor Holdings Inc,CCO,<0.01%,Advertising,US,---,"$20,622,811.20","8,592,838"
,BQFMQ93,Enhabit Inc,EHAB,<0.01%,Health Care Services,US,---,"$20,566,547.35","1,511,135"
,BL989M6,Utz Brands Inc,UTZ,<0.01%,Packaged Foods & Meats,US,---,"$20,545,122.99","2,211,531"
,BVDFZW5,Jade Biosciences Inc,JBIO,<0.01%,Biotechnology,US,---,"$20,544,518.05","1,385,335"
,BDZDSJ9,Eastman Kodak Co,KODK,<0.01%,"Technology Hardware, Storage & Peripherals",US,---,"$20,380,402.56","2,784,208"
,BMH10B0,Cantaloupe Inc,CTLP,<0.01%,Transaction & Payment Processing Services,US,---,"$20,368,137.24","1,950,971"
,BMN9870,Heritage Insurance Holdings Inc,HRTG,<0.01%,Property & Casualty Insurance,US,---,"$20,356,220.13","730,399"
,BPBJW48,Serve Robotics Inc,SERV,<0.01%,Restaurants,US,---,"$20,345,324.31","2,036,569"
,BFWGXV2,Marcus & Millichap Inc,MMI,<0.01%,Real Estate Services,US,---,"$20,261,540.72","767,192"
,B51JS17,Cooper-Standard Holdings Inc,CPS,<0.01%,Automotive Parts & Equipment,US,---,"$20,211,828.88","525,802"
,B3PGPB9,QuinStreet Inc,QNST,<0.01%,Interactive Media & Services,US,---,"$20,161,271.40","1,720,245"
,2177786,Carriage Services Inc,CSV,<0.01%,Specialized Consumer Services,US,---,"$20,123,928.84","436,812"
,BMB5CZ6,Idaho Strategic Resources Inc,IDR,<0.01%,Diversified Metals & Mining,US,---,"$20,043,744.32","465,376"
,2798466,Preformed Line Products Co,PLPC,<0.01%,Electrical Components & Equipment,US,---,"$19,978,234.95","78,763"
,BZ0WN34,SI-BONE Inc,SIBN,<0.01%,Health Care Equipment,US,---,"$19,948,600.96","1,285,348"
,2779234,Scholastic Corp,SCHL,<0.01%,Publishing,US,---,"$19,917,994.50","572,850"
,BFFVV54,Avanos Medical Inc,AVNS,<0.01%,Health Care Supplies,US,---,"$19,889,840.70","1,410,627"
,BL0P090,Driven Brands Holdings Inc,DRVN,<0.01%,Specialized Consumer Services,US,---,"$19,849,478.00","1,804,498"
,BP4W0C8,indie Semiconductor Inc,INDI,<0.01%,Semiconductors,US,---,"$19,801,471.08","5,410,238"
,BRJX4J5,Sinclair Inc,SBGI,<0.01%,Broadcasting,US,---,"$19,791,171.40","1,211,210"
,B0ZN8Z4,Liquidity Services Inc,LQDT,<0.01%,Diversified Support Services,US,---,"$19,778,503.44","625,704"
,BG0WPH9,SELLAS Life Sciences Group Inc,SLS,<0.01%,Biotechnology,US,---,"$19,720,088.74","4,000,018"
,BN2W9T6,Apartment Investment and Management Co,AIV,<0.01%,Multi-Family Residential REITs,US,---,"$19,672,202.97","4,460,817"
,B0PPHS6,AMERISAFE Inc,AMSF,<0.01%,Property & Casualty Insurance,US,---,"$19,670,858.47","604,699"
,2597072,Mitek Systems Inc,MITK,<0.01%,Application Software,US,---,"$19,645,019.10","1,347,395"
,2570501,Southern Missouri Bancorp Inc,SMBC,<0.01%,Regional Banks,US,---,"$19,618,969.45","316,895"
,BZB1XF2,Tactile Systems Technology Inc,TCMD,<0.01%,Health Care Equipment,US,---,"$19,601,893.15","669,235"
,B034L50,Build-A-Bear Workshop Inc,BBW,<0.01%,Other Specialty Retail,US,---,"$19,429,208.10","399,285"
,BJ7JPH4,PagerDuty Inc,PD,<0.01%,Application Software,US,---,"$19,409,210.80","2,749,180"
,B8X64T7,Mama's Creations Inc,MAMA,<0.01%,Packaged Foods & Meats,US,---,"$19,389,642.14","1,131,251"
,BNYK9Y3,Aveanna Healthcare Holdings Inc,AVAH,<0.01%,Health Care Services,US,---,"$19,361,142.40","2,630,590"
,2600088,Monro Inc,MNRO,<0.01%,Automotive Retail,US,---,"$19,177,029.36","890,712"
,BQB42H3,Zenas Biopharma Inc,ZBIO,<0.01%,Biotechnology,US,---,"$19,153,709.60","726,896"
,B01Y8Q2,Lightwave Logic Inc,LWLG,<0.01%,Electronic Components,US,---,"$19,152,413.91","4,342,951"
,BN7JWR1,CTO Realty Growth Inc,CTO,<0.01%,Diversified REITs,US,---,"$19,133,217.04","982,198"
,B3WNNP3,Green Dot Corp,GDOT,<0.01%,Consumer Finance,US,---,"$19,110,633.64","1,653,169"
,BRKFN59,Kimball Electronics Inc,KE,<0.01%,Electronic Manufacturing Services,US,---,"$19,096,808.22","764,178"
,BLFDQC4,Asana Inc,ASAN,<0.01%,Application Software,US,---,"$19,088,122.80","2,688,468"
,BT3CTW0,Beta Technologies Inc,BETA,<0.01%,Aerospace & Defense,US,---,"$19,056,996.00","1,013,670"
,2186759,Capital City Bank Group Inc,CCBG,<0.01%,Regional Banks,US,---,"$19,052,614.52","444,687"
,BN4G703,AMC Entertainment Holdings Inc,AMC,<0.01%,Movies & Entertainment,US,---,"$19,045,726.80","16,418,730"
,BNBPMX1,Metallus Inc,MTUS,<0.01%,Steel,US,---,"$19,044,199.00","1,120,247"
,BPSJQ05,FTAI Infrastructure Inc,FIP,<0.01%,Rail Transportation,US,---,"$19,007,508.87","3,274,334"
,BKM5C84,Precigen Inc,PGEN,<0.01%,Biotechnology,US,---,"$18,957,943.84","5,002,096"
,BSJQPL0,Kestra Medical Technologies Ltd,KMTS,<0.01%,Health Care Equipment,US,---,"$18,901,194.96","811,907"
,2250353,MarineMax Inc,HZO,<0.01%,Other Specialty Retail,US,---,"$18,862,054.00","618,428"
,BQD3J33,Rigel Pharmaceuticals Inc,RIGL,<0.01%,Biotechnology,US,---,"$18,830,678.04","542,046"
,BYVYKX1,SmartFinancial Inc,SMBK,<0.01%,Regional Banks,US,---,"$18,823,740.75","480,075"
,BMXWYR1,Embecta Corp,EMBC,<0.01%,Health Care Supplies,US,---,"$18,794,616.84","1,831,834"
,2099095,Consolidated Water Co Ltd,CWCO,<0.01%,Water Utilities,US,---,"$18,785,825.55","496,323"
,B0WW4L2,Ur-Energy Inc,URG,<0.01%,Coal & Consumable Fuels,US,---,"$18,759,158.43","11,233,029"
,BNKT9M2,Core Laboratories Inc,CLB,<0.01%,Oil & Gas Equipment & Services,US,---,"$18,740,386.00","1,065,400"
,BN458W9,Rayonier Advanced Materials Inc,RYAM,<0.01%,Specialty Chemicals,US,---,"$18,730,182.68","1,977,844"
,2596949,Financial Institutions Inc,FISI,<0.01%,Regional Banks,US,---,"$18,671,539.32","595,014"
,2918479,Gladstone Commercial Corp,GOOD,<0.01%,Diversified REITs,US,---,"$18,667,104.36","1,494,564"
,BF2F1Q0,TPG RE Finance Trust Inc,TRTX,<0.01%,Mortgage REITs,US,---,"$18,662,446.98","2,205,963"
,2404978,Hallador Energy Co,HNRG,<0.01%,Independent Power Producers & Energy Traders,US,---,"$18,648,789.48","1,025,786"
,2782038,Mativ Holdings Inc,MATV,<0.01%,Commodity Chemicals,US,---,"$18,559,142.32","1,712,098"
,2927497,Universal Health Realty Income Trust,UHT,<0.01%,Health Care REITs,US,---,"$18,492,917.10","423,955"
,BTMJ438,NIQ Global Intelligence Plc,NIQ,<0.01%,Advertising,US,---,"$18,484,537.71","1,386,687"
,BF16ZX9,Forestar Group Inc,FOR,<0.01%,Real Estate Development,US,---,"$18,450,905.52","642,441"
,BSHZ3P9,PRA Group Inc,PRAA,<0.01%,Consumer Finance,US,---,"$18,415,215.00","1,169,220"
,BP2C8W6,Five Star Bancorp,FSBC,<0.01%,Regional Banks,US,---,"$18,388,157.27","472,339"
,2536882,LSB Industries Inc,LXU,<0.01%,Diversified Chemicals,US,---,"$18,370,592.52","1,580,946"
,BWC6PW6,NexPoint Residential Trust Inc,NXRT,<0.01%,Multi-Family Residential REITs,US,---,"$18,362,994.19","651,401"
,2748869,Shore Bancshares Inc,SHBI,<0.01%,Regional Banks,US,---,"$18,218,135.92","980,524"
,B1Z3TW5,MiMedx Group Inc,MDXG,<0.01%,Biotechnology,US,---,"$18,201,998.10","3,722,290"
,BD8ZJW2,Yext Inc,YEXT,<0.01%,Application Software,US,---,"$18,156,114.32","3,196,499"
,BSQNQM2,BlackSky Technology Inc,BKSY,<0.01%,Research & Consulting Services,US,---,"$18,126,593.55","961,623"
,2387002,Great Southern Bancorp Inc,GSBC,<0.01%,Regional Banks,US,---,"$18,116,893.20","294,440"
,2719456,RPC Inc,RES,<0.01%,Oil & Gas Equipment & Services,US,---,"$18,102,681.80","3,115,780"
,BMG79C3,Solid Power Inc,SLDP,<0.01%,Automotive Parts & Equipment,US,---,"$18,057,833.82","5,101,083"
,BNV0HC0,Root Inc/OH,ROOT,<0.01%,Property & Casualty Insurance,US,---,"$18,005,576.56","347,062"
,2086558,Cass Information Systems Inc,CASS,<0.01%,Transaction & Payment Processing Services,US,---,"$18,004,433.44","405,688"
,2665300,Oxford Industries Inc,OXM,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$17,939,297.93","453,127"
,BNBV530,Invesco Mortgage Capital Inc,IVR,<0.01%,Mortgage REITs,US,---,"$17,857,901.25","2,118,375"
,BP7L970,Talkspace Inc,TALK,<0.01%,Health Care Services,US,---,"$17,844,657.02","3,702,211"
,2688363,NETGEAR Inc,NTGR,<0.01%,Communications Equipment,US,---,"$17,842,217.94","865,287"
,BK71M09,Ocugen Inc,OCGN,<0.01%,Biotechnology,US,---,"$17,839,629.08","9,801,994"
,BLP5GX1,Navient Corp,NAVI,<0.01%,Consumer Finance,US,---,"$17,826,462.81","2,028,039"
,BMHG0X7,Hippo Holdings Inc,HIPO,<0.01%,Insurance Brokers,US,---,"$17,568,333.60","610,860"
,BNM5672,Hertz Global Holdings Inc,HTZ,<0.01%,Passenger Ground Transportation,US,---,"$17,535,155.26","3,862,369"
,BNDQ9Y2,GCM Grosvenor Inc,GCMG,<0.01%,Asset Management & Custody Banks,US,---,"$17,483,426.10","1,509,795"
,BJ5KPZ7,Hovnanian Enterprises Inc,HOV,<0.01%,Homebuilding,US,---,"$17,477,259.36","139,128"
,BMBX3P7,Vitesse Energy Inc,VTS,<0.01%,Oil & Gas Exploration & Production,US,---,"$17,461,781.97","904,287"
,2449128,LightPath Technologies Inc,LPTH,<0.01%,Electronic Equipment & Instruments,US,---,"$17,460,101.61","1,674,027"
,BJDX8Z9,Fulcrum Therapeutics Inc,FULC,<0.01%,Pharmaceuticals,US,---,"$17,382,902.16","2,074,332"
,2028174,U-Haul Holding Co,UHAL,<0.01%,Cargo Ground Transportation,US,---,"$17,344,869.48","342,378"
,BLNPMM4,Mission Produce Inc,AVO,<0.01%,Packaged Foods & Meats,US,---,"$17,315,801.58","1,220,282"
,BSMNX92,Nutex Health Inc,NUTX,<0.01%,Health Care Facilities,US,---,"$17,262,909.72","156,282"
,BQWNKK8,Alto Neuroscience Inc,ANRO,<0.01%,Pharmaceuticals,US,---,"$17,244,127.89","875,781"
,2320825,Ethan Allen Interiors Inc,ETD,<0.01%,Home Furnishings,US,---,"$17,239,881.22","756,799"
,BDQYWV1,Varex Imaging Corp,VREX,<0.01%,Health Care Equipment,US,---,"$17,176,748.61","1,304,233"
,BD1XH30,SandRidge Energy Inc,SD,<0.01%,Oil & Gas Exploration & Production,US,---,"$17,078,549.91","974,247"
,BMXZF55,Consensus Cloud Solutions Inc,CCSI,<0.01%,Application Software,US,---,"$17,061,556.48","567,206"
,2856289,Sturm Ruger & Co Inc,RGR,<0.01%,Leisure Products,US,---,"$16,881,321.60","450,890"
,2933353,VAALCO Energy Inc,EGY,<0.01%,Oil & Gas Exploration & Production,US,---,"$16,845,330.70","3,270,938"
,B603LG3,Vishay Precision Group Inc,VPG,<0.01%,Electronic Equipment & Instruments,US,---,"$16,839,690.68","365,524"
,BGV1W52,South Plains Financial Inc,SPFI,<0.01%,Regional Banks,US,---,"$16,818,749.44","410,614"
,BYNH8R8,Golden Entertainment Inc,GDEN,<0.01%,Casinos & Gaming,US,---,"$16,780,496.00","580,640"
,BD9MTK0,Metrocity Bankshares Inc,MCBS,<0.01%,Regional Banks,US,---,"$16,776,683.50","597,035"
,BPBJFJ4,ASP Isotopes Inc,ASPI,<0.01%,Specialty Chemicals,US,---,"$16,769,175.30","3,140,295"
,2986937,CEVA Inc,CEVA,<0.01%,Semiconductors,US,---,"$16,722,690.18","801,663"
,BMQ89L5,Sweetgreen Inc,SG,<0.01%,Restaurants,US,---,"$16,716,616.65","3,012,003"
,2518954,Brandywine Realty Trust,BDN,<0.01%,Office REITs,US,---,"$16,709,057.31","5,237,949"
,B8NB2R6,Northfield Bancorp Inc,NFBK,<0.01%,Regional Banks,US,---,"$16,684,551.44","1,250,716"
,BMFX8Y7,Janux Therapeutics Inc,JANX,<0.01%,Biotechnology,US,---,"$16,683,641.57","1,225,837"
,BYQLZ65,BlueLinx Holdings Inc,BXC,<0.01%,Trading Companies & Distributors,US,---,"$16,669,520.00","252,875"
,B3B5J07,Energy Recovery Inc,ERII,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$16,607,981.04","1,592,328"
,BJ38KJ2,Malibu Boats Inc,MBUU,<0.01%,Leisure Products,US,---,"$16,493,322.66","567,561"
,BFMB9P3,Columbia Financial Inc,CLBK,<0.01%,Regional Banks,US,---,"$16,483,411.90","920,861"
,BKLXFX5,4D Molecular Therapeutics Inc,FDMT,<0.01%,Biotechnology,US,---,"$16,482,017.58","1,706,213"
,2307732,Peapack-Gladstone Financial Corp,PGC,<0.01%,Regional Banks,US,---,"$16,477,448.39","492,011"
,BPQYJV4,Firstsun Capital Bancorp,FSUN,<0.01%,Regional Banks,US,---,"$16,370,033.61","448,863"
,2618111,Bar Harbor Bankshares,BHB,<0.01%,Regional Banks,US,---,"$16,359,400.86","507,111"
,BMG97J2,Arteris Inc,AIP,<0.01%,Systems Software,US,---,"$16,329,819.57","961,143"
,BQFN254,Ceribell Inc,CBLL,<0.01%,Health Care Equipment,US,---,"$16,318,569.51","874,053"
,2316103,Ennis Inc,EBF,<0.01%,Commercial Printing,US,---,"$16,310,261.52","772,632"
,B1WTHL1,Orion Group Holdings Inc,ORN,<0.01%,Construction & Engineering,US,---,"$16,281,816.61","1,185,857"
,2211071,Columbus McKinnon Corp/NY,CMCO,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$16,261,342.76","856,762"
,BMCR7V2,ARS Pharmaceuticals Inc,SPRY,<0.01%,Biotechnology,US,---,"$16,237,800.64","1,749,763"
,2640277,Northrim BanCorp Inc,NRIM,<0.01%,Regional Banks,US,---,"$16,236,288.00","691,200"
,BQ6C357,Lexeo Therapeutics Inc,LXEO,<0.01%,Biotechnology,US,---,"$16,221,486.80","2,259,260"
,BQT3J26,Netskope Inc,NTSK,<0.01%,Systems Software,US,---,"$16,217,917.20","1,501,659"
,BKBS530,Postal Realty Trust Inc,PSTL,<0.01%,Office REITs,US,---,"$16,213,948.77","782,149"
,BMFZ3F9,Dream Finders Homes Inc,DFH,<0.01%,Homebuilding,US,---,"$16,211,626.99","897,157"
,BF2G4D1,I3 Verticals Inc,IIIV,<0.01%,Application Software,US,---,"$16,158,337.62","721,999"
,BFMQPR2,Cannae Holdings Inc,CNNE,<0.01%,Multi-Sector Holdings,US,---,"$16,089,006.20","1,318,771"
,BKZH191,Farmland Partners Inc,FPI,<0.01%,Other Specialized REITs,US,---,"$16,079,037.20","1,233,055"
,BLB56T1,Ridgepost Capital Inc,RPC,<0.01%,Asset Management & Custody Banks,US,---,"$16,062,519.93","1,990,399"
,BGGJFT6,Orthofix Medical Inc,OFIX,<0.01%,Health Care Equipment,US,---,"$15,948,758.10","1,178,770"
,2577870,HealthStream Inc,HSTM,<0.01%,Health Care Technology,US,---,"$15,946,659.74","751,138"
,BJ0LT31,CorMedix Inc,CRMD,<0.01%,Pharmaceuticals,US,---,"$15,883,664.99","2,227,723"
,2553814,Mesa Laboratories Inc,MLAB,<0.01%,Life Sciences Tools & Services,US,---,"$15,857,856.27","164,211"
,BSHT908,Flowco Holdings Inc,FLOC,<0.01%,Oil & Gas Equipment & Services,US,---,"$15,818,237.28","701,163"
,B14TC70,Compass Diversified Holdings,CODI,<0.01%,Multi-Sector Holdings,US,---,"$15,802,289.65","2,109,785"
,BLFBZ32,Zevra Therapeutics Inc,ZVRA,<0.01%,Pharmaceuticals,US,---,"$15,801,688.58","1,769,506"
,2360111,Flushing Financial Corp,FFIC,<0.01%,Regional Banks,US,---,"$15,801,137.79","1,024,053"
